WORK_ID,MP_NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED_DATE,ALLOCATION_AMOUNT,IDA_APPROVAL,STATUS,HOUSE,is_fraud,fraud_type
39ce7732,MP 0248,NA - installation of solar street lights,Normal/Others,West Bengal,West Bengal Constituency 248,IDA 0293,,,,Village 5,2024-03-10,301982,Approved by IDA,Unsanctioned,Rajya Sabha,0,
b485a80e,MP 0067,NA - construction of drainage system,Normal/Others,Telangana,Telangana Constituency 67,IDA 0188,,,Block 4,Village 87,2024-02-14,1472743,Approved by IDA,Sanctioned,Lok Sabha,0,
53197109,MP 0230,NA - construction of boundary wall for school,Normal/Others,Maharashtra,Maharashtra Constituency 230,IDA 0308,,,,,2023-09-17,593609,Approved by IDA,Completed,Rajya Sabha,0,
ecc27678,MP 0285,NA - construction of community hall,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 285,IDA 0215,,Ward 13,Block 5,Village 92,2023-04-29,1955837,Action Pending,Ongoing,Lok Sabha,0,
88476901,MP 0071,NA - installation of street lights,Normal/Others,Bihar,Bihar Constituency 71,IDA 0218,,Ward 25,,,2023-09-12,155776,Action Pending,Unsanctioned,Lok Sabha,0,
80766484,MP 0142,NA - repair of internal roads,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 142,IDA 0051,,,Block 10,Village 39,2024-02-09,11453042,Action Pending,Unsanctioned,Rajya Sabha,1,overpricing
a22ceca2,MP 0031,NA - installation of CCTV surveillance system,Normal/Others,Gujarat,Gujarat Constituency 31,IDA 0294,,,Block 2,,2023-04-26,465948,Action Pending,Ongoing,Lok Sabha,0,
c2a82f4c,MP 0254,NA - construction of cremation ground shed,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 254,IDA 0259,,,Block 6,,2023-11-07,539025,Approved by IDA,Unsanctioned,Lok Sabha,0,
0d376dd7,MP 0129,NA - repair and renovation of anganwadi center,Normal/Others,West Bengal,West Bengal Constituency 129,IDA 0109,,,,,2023-07-22,393231,Approved by IDA,Unsanctioned,Lok Sabha,0,
a5257c96,MP 0045,NA - installation of hand pumps and borewells,Normal/Others,Haryana,Haryana Constituency 45,IDA 0205,,,Block 12,,2023-09-14,90628,Approved by IDA,Unsanctioned,Lok Sabha,0,
4e605da5,MP 0113,NA - installation of street lights,Normal/Others,Bihar,Bihar Constituency 113,IDA 0024,,,Block 6,,2023-04-21,198921,Action Pending,Completed,Lok Sabha,0,
17f190c4,MP 0288,NA - construction of community hall,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 288,IDA 0031,,Ward 18,Block 6,,2023-11-13,1843802,Approved by IDA,Ongoing,Lok Sabha,0,
e91d8861,MP 0176,NA - construction of community hall,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 176,IDA 0014,,Ward 9,Block 8,Village 65,2024-01-02,1793893,Approved by IDA,Sanctioned,Rajya Sabha,0,
5c5ccf9c,MP 0090,NA - renovation of government school building,Normal/Others,Rajasthan,Rajasthan Constituency 90,IDA 0286,,,Block 15,Village 17,2024-02-10,2164357,Approved by IDA,Ongoing,Lok Sabha,0,
39a9221c,MP 0280,NA - repair of drinking water supply pipeline,Normal/Others,Maharashtra,Maharashtra Constituency 280,IDA 0317,,,Block 15,Village 61,2023-06-22,666274,Action Pending,Unsanctioned,Lok Sabha,1,vendor_capture
cb842f89,MP 0279,NA - repair of internal roads,Normal/Others,Odisha,Odisha Constituency 279,IDA 0230,,,,,2023-05-07,1120294,Approved by IDA,Unsanctioned,Rajya Sabha,0,
b38cc1f3,MP 0051,NA - construction of drainage system,Normal/Others,Uttarakhand,Uttarakhand Constituency 51,IDA 0304,,,Block 14,Village 43,2023-08-01,1517754,Action Pending,Unsanctioned,Rajya Sabha,1,vendor_capture
e06b85e1,MP 0255,NA - installation of solar street lights,Normal/Others,Jharkhand,Jharkhand Constituency 255,IDA 0085,,,Block 8,,2023-05-18,227045,Approved by IDA,Unsanctioned,Lok Sabha,0,
89fb7039,MP 0144,NA - repair of drinking water supply pipeline,Normal/Others,Andhra Pradesh,Andhra Pradesh Constituency 144,IDA 0113,,,Block 7,Village 13,2023-09-19,968873,Action Pending,Unsanctioned,Lok Sabha,0,
3821e1a7,MP 0201,NA - renovation of government school building,Normal/Others,Maharashtra,Maharashtra Constituency 201,IDA 0309,,Ward 6,Block 2,Village 78,2023-05-02,973234,Action Pending,Unsanctioned,Lok Sabha,1,structuring
90626a83,MP 0154,NA - repair and renovation of anganwadi center,Normal/Others,Uttarakhand,Uttarakhand Constituency 154,IDA 0324,,,,,2023-05-09,420332,Action Pending,Unsanctioned,Lok Sabha,0,
1d4ebb8d,MP 0212,NA - installation of solar street lights,Normal/Others,Haryana,Haryana Constituency 212,IDA 0260,,,,Village 96,2024-01-23,319783,Approved by IDA,Unsanctioned,Lok Sabha,0,
840076e1,MP 0258,NA - installation of solar street lights,Normal/Others,Rajasthan,Rajasthan Constituency 258,IDA 0067,,,Block 4,,2023-08-19,169716,Rejected by IDA,Unsanctioned,Lok Sabha,0,
59ee3103,MP 0199,NA - installation of hand pumps and borewells,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 199,IDA 0384,,Ward 26,,,2023-08-22,142530,Approved by IDA,Unsanctioned,Lok Sabha,0,
b9d27048,MP 0033,NA - construction of boundary wall for school,Normal/Others,Rajasthan,Rajasthan Constituency 33,IDA 0213,,Ward 10,,,2023-10-20,487692,Action Pending,Unsanctioned,Lok Sabha,0,
6ed866ff,MP 0043,NA - installation of RO water purification unit,Normal/Others,Maharashtra,Maharashtra Constituency 43,IDA 0196,,,,Village 57,2023-08-23,235191,Action Pending,Unsanctioned,Lok Sabha,0,
6211c40d,MP 0274,NA - installation of street lights,Normal/Others,Rajasthan,Rajasthan Constituency 274,IDA 0170,,,Block 5,,2023-08-20,288310,Approved by IDA,Unsanctioned,Rajya Sabha,0,
c1272c28,MP 0211,NA - construction of public toilet complex,Normal/Others,Rajasthan,Rajasthan Constituency 211,IDA 0356,,,,,2023-05-10,845046,Approved by IDA,Unsanctioned,Rajya Sabha,0,
6beaf180,MP 0228,NA - installation of RO water purification unit,Normal/Others,Maharashtra,Maharashtra Constituency 228,IDA 0249,,,Block 12,,2023-11-09,119416,Approved by IDA,Unsanctioned,Lok Sabha,0,
cad258a0,MP 0185,NA - installation of CCTV surveillance system,Normal/Others,Assam,Assam Constituency 185,IDA 0306,,,,,2023-06-28,539886,Rejected by IDA,Ongoing,Rajya Sabha,0,
472a0e15,MP 0174,NA - installation of solar street lights,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 174,IDA 0151,,,Block 14,,2024-01-10,495578,Action Pending,Sanctioned,Rajya Sabha,0,
172e4377,MP 0182,NA - development of public park,Normal/Others,Andhra Pradesh,Andhra Pradesh Constituency 182,IDA 0259,,,Block 9,,2023-09-18,1949071,Approved by IDA,Unsanctioned,Lok Sabha,0,
31708601,MP 0092,NA - repair of internal roads,Normal/Others,Odisha,Odisha Constituency 92,IDA 0372,,,,Village 82,2023-11-14,10583911,Action Pending,Unsanctioned,Rajya Sabha,1,overpricing
6551fd08,MP 0145,NA - installation of CCTV surveillance system,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 145,IDA 0396,,Ward 14,Block 14,Village 23,2023-08-23,184952,Approved by IDA,Ongoing,Lok Sabha,0,
c593f36f,MP 0149,NA - construction of community hall,Normal/Others,Telangana,Telangana Constituency 149,IDA 0323,,,,,2023-05-31,3809616,Approved by IDA,Ongoing,Lok Sabha,1,ghost_project
01fd9fed,MP 0195,NA - construction of boundary wall for school,Normal/Others,Haryana,Haryana Constituency 195,IDA 0131,,,,Village 35,2023-07-14,781338,Approved by IDA,Ongoing,Lok Sabha,0,
8ff30755,MP 0133,NA - installation of hand pumps and borewells,Normal/Others,West Bengal,West Bengal Constituency 133,IDA 0071,,Ward 13,Block 9,Village 24,2023-08-13,76852,Approved by IDA,Unsanctioned,Lok Sabha,0,
cd5f4972,MP 0058,NA - construction of cremation ground shed,Normal/Others,Andhra Pradesh,Andhra Pradesh Constituency 58,IDA 0263,,,Block 10,,2023-08-26,350999,Action Pending,Sanctioned,Rajya Sabha,0,
07a400c7,MP 0057,NA - construction of drainage system,Normal/Others,Karnataka,Karnataka Constituency 57,IDA 0183,,,Block 7,,2023-05-03,1371810,Approved by IDA,Sanctioned,Lok Sabha,0,
4192b0f1,MP 0244,NA - repair of drinking water supply pipeline,Normal/Others,Karnataka,Karnataka Constituency 244,IDA 0242,,Ward 28,Block 11,Village 24,2023-06-23,1091081,Action Pending,Ongoing,Lok Sabha,0,
76d48b78,MP 0161,NA - installation of solar street lights,Normal/Others,Karnataka,Karnataka Constituency 161,IDA 0025,,,Block 13,,2023-12-10,396003,Approved by IDA,Unsanctioned,Lok Sabha,0,
d7c27685,MP 0156,NA - construction of cremation ground shed,Normal/Others,Punjab,Punjab Constituency 156,IDA 0020,,Ward 8,,,2023-09-16,511030,Approved by IDA,Ongoing,Lok Sabha,1,vendor_capture
7ed481d2,MP 0225,NA - repair of drinking water supply pipeline,Normal/Others,Jharkhand,Jharkhand Constituency 225,IDA 0302,,,Block 8,Village 73,2023-04-03,528122,Approved by IDA,Unsanctioned,Rajya Sabha,0,
11d10a22,MP 0204,NA - construction of community hall,Normal/Others,Maharashtra,Maharashtra Constituency 204,IDA 0222,,,Block 7,,2023-11-04,2676900,Approved by IDA,Sanctioned,Lok Sabha,0,
1c7de9c7,MP 0266,NA - repair of drinking water supply pipeline,Normal/Others,Assam,Assam Constituency 266,IDA 0264,,Ward 1,Block 10,Village 33,2023-09-30,638344,Action Pending,Unsanctioned,Rajya Sabha,0,
73ed82cf,MP 0229,NA - installation of CCTV surveillance system,Normal/Others,West Bengal,West Bengal Constituency 229,IDA 0256,,,Block 1,,2023-05-18,506619,Approved by IDA,Sanctioned,Lok Sabha,1,ghost_project
9d284f9b,MP 0057,NA - development of public park,Normal/Others,Karnataka,Karnataka Constituency 57,IDA 0385,,Ward 10,,,2023-11-18,1729515,Action Pending,Sanctioned,Lok Sabha,0,
a51e7a15,MP 0004,NA - renovation of government school building,Normal/Others,Karnataka,Karnataka Constituency 4,IDA 0130,,,,,2023-04-28,2101950,Action Pending,Unsanctioned,Lok Sabha,0,
0d7e61d6,MP 0218,NA - installation of RO water purification unit,Normal/Others,Punjab,Punjab Constituency 218,IDA 0075,,Ward 25,Block 3,Village 54,2023-12-04,315583,Approved by IDA,Unsanctioned,Rajya Sabha,0,
0a081c12,MP 0219,NA - construction of public toilet complex,Normal/Others,Jharkhand,Jharkhand Constituency 219,IDA 0040,,,Block 13,,2023-12-13,477174,Action Pending,Unsanctioned,Lok Sabha,0,
b2a9f510,MP 0005,NA - repair of internal roads,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 5,IDA 0337,,Ward 13,Block 13,,2023-04-01,2200725,Action Pending,Sanctioned,Lok Sabha,0,
db067597,MP 0026,NA - construction of community hall,Normal/Others,Gujarat,Gujarat Constituency 26,IDA 0126,,,,,2023-09-30,3639061,Approved by IDA,Sanctioned,Lok Sabha,0,
48422a56,MP 0020,NA - installation of solar street lights,Normal/Others,Rajasthan,Rajasthan Constituency 20,IDA 0130,,,,,2023-12-06,472296,Action Pending,Unsanctioned,Rajya Sabha,0,
cea2e861,MP 0163,NA - installation of hand pumps and borewells,Normal/Others,Karnataka,Karnataka Constituency 163,IDA 0080,,Ward 12,,,2023-06-01,113595,Rejected by IDA,Sanctioned,Lok Sabha,0,
0b2e725a,MP 0244,NA - installation of solar street lights,Normal/Others,Karnataka,Karnataka Constituency 244,IDA 0076,,,,,2023-11-07,266800,Action Pending,Unsanctioned,Rajya Sabha,0,
4cc080ff,MP 0188,NA - development of public park,Normal/Others,West Bengal,West Bengal Constituency 188,IDA 0137,,,Block 12,,2024-02-13,983120,Action Pending,Sanctioned,Lok Sabha,0,
5c60b9ce,MP 0299,NA - construction of drainage system,Normal/Others,Delhi,Delhi Constituency 299,IDA 0133,,,Block 11,Village 27,2023-10-29,848069,Action Pending,Ongoing,Lok Sabha,0,
ecbec864,MP 0156,NA - installation of street lights,Normal/Others,Punjab,Punjab Constituency 156,IDA 0214,,,,Village 39,2024-01-19,84568,Approved by IDA,Unsanctioned,Rajya Sabha,1,vendor_capture
8b1b2c09,MP 0233,NA - construction of boundary wall for school,Normal/Others,West Bengal,West Bengal Constituency 233,IDA 0049,,,Block 6,,2023-04-14,557586,Action Pending,Sanctioned,Rajya Sabha,0,
1fd1ba89,MP 0171,NA - construction of drainage system,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 171,IDA 0136,,,Block 11,,2024-03-10,1172669,Action Pending,Ongoing,Lok Sabha,0,
3b6ddb09,MP 0097,NA - installation of RO water purification unit,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 97,IDA 0029,,,,,2023-04-28,240914,Approved by IDA,Sanctioned,Lok Sabha,1,ghost_project
2935e258,MP 0264,NA - construction of public toilet complex,Normal/Others,Kerala,Kerala Constituency 264,IDA 0109,,,,,2023-05-26,747478,Approved by IDA,Ongoing,Rajya Sabha,1,ghost_project
abd9b322,MP 0222,NA - renovation of government school building,Normal/Others,West Bengal,West Bengal Constituency 222,IDA 0247,,,,,2023-05-05,1975245,Approved by IDA,Sanctioned,Lok Sabha,1,ghost_project
c18796f6,MP 0182,NA - construction of public toilet complex,Normal/Others,Andhra Pradesh,Andhra Pradesh Constituency 182,IDA 0033,,,,,2024-03-02,733589,Approved by IDA,Sanctioned,Rajya Sabha,0,
130f90e9,MP 0063,NA – repair of internal roads (Phase 2),Normal/Others,Gujarat,Gujarat Constituency 63,IDA 0295,,,,,2023-06-20,1643474,Action Pending,Unsanctioned,Rajya Sabha,1,duplicate
ab68a187,MP 0220,NA - construction of drainage system,Normal/Others,Rajasthan,Rajasthan Constituency 220,IDA 0200,,Ward 22,Block 13,,2023-04-23,454676,Approved by IDA,Sanctioned,Lok Sabha,1,ghost_project
516e0ad6,MP 0074,NA - installation of hand pumps and borewells,Normal/Others,Haryana,Haryana Constituency 74,IDA 0297,,Ward 14,,,2023-06-08,194305,Action Pending,Unsanctioned,Rajya Sabha,0,
f79ca1e8,MP 0084,NA - construction of boundary wall for school,Normal/Others,Karnataka,Karnataka Constituency 84,IDA 0027,,Ward 5,,,2023-09-29,356941,Approved by IDA,Ongoing,Lok Sabha,0,
cbff89b5,MP 0048,NA - installation of CCTV surveillance system,Normal/Others,Bihar,Bihar Constituency 48,IDA 0118,,Ward 2,Block 2,Village 77,2024-03-18,344617,Approved by IDA,Completed,Rajya Sabha,0,
5e7349a6,MP 0231,NA - installation of solar street lights,Normal/Others,Kerala,Kerala Constituency 231,IDA 0014,,,Block 6,,2024-01-18,345961,Action Pending,Unsanctioned,Lok Sabha,0,
690a70db,MP 0084,NA - construction of community hall,Normal/Others,Karnataka,Karnataka Constituency 84,IDA 0076,,,,,2023-12-21,2221145,Approved by IDA,Unsanctioned,Rajya Sabha,0,
c54e2fbd,MP 0290,NA - installation of RO water purification unit,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 290,IDA 0174,,Ward 30,Block 10,,2023-11-25,210134,Action Pending,Sanctioned,Lok Sabha,0,
df70f015,MP 0006,NA - repair of internal roads,Normal/Others,West Bengal,West Bengal Constituency 6,IDA 0205,,,,Village 27,2023-05-05,2360013,Approved by IDA,Sanctioned,Rajya Sabha,0,
db4ed2ec,MP 0164,NA - repair and renovation of anganwadi center,Normal/Others,Delhi,Delhi Constituency 164,IDA 0203,,,,Village 32,2023-09-07,310619,Approved by IDA,Unsanctioned,Rajya Sabha,0,
fa32fee2,MP 0227,NA - installation of hand pumps and borewells,Normal/Others,Assam,Assam Constituency 227,IDA 0395,,,,,2023-04-01,77873,Approved by IDA,Sanctioned,Lok Sabha,0,
f6653621,MP 0278,NA - construction of community hall,Normal/Others,Maharashtra,Maharashtra Constituency 278,IDA 0053,,,,Village 64,2024-01-27,3655210,Approved by IDA,Unsanctioned,Lok Sabha,0,
b3178ba0,MP 0294,NA - construction of community hall,Normal/Others,Karnataka,Karnataka Constituency 294,IDA 0218,,,,,2024-03-14,1867120,Approved by IDA,Unsanctioned,Lok Sabha,0,
c7659993,MP 0140,NA - installation of solar street lights,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 140,IDA 0111,,Ward 19,Block 7,Village 94,2023-11-27,473412,Action Pending,Unsanctioned,Lok Sabha,0,
90670339,MP 0272,NA - construction of community hall,Normal/Others,Rajasthan,Rajasthan Constituency 272,IDA 0095,,,,Village 68,2023-09-04,3239371,Rejected by IDA,Unsanctioned,Lok Sabha,0,
287aa470,MP 0224,NA - construction of boundary wall for school,Normal/Others,Telangana,Telangana Constituency 224,IDA 0083,,,,,2024-01-23,307537,Action Pending,Unsanctioned,Lok Sabha,0,
fd719872,MP 0166,NA - installation of hand pumps and borewells,Normal/Others,Bihar,Bihar Constituency 166,IDA 0067,,,Block 9,,2023-09-24,166051,Approved by IDA,Ongoing,Lok Sabha,0,
87fbfffd,MP 0105,NA - installation of RO water purification unit,Normal/Others,Jharkhand,Jharkhand Constituency 105,IDA 0346,,,,,2023-08-26,268217,Action Pending,Completed,Lok Sabha,0,
24269b8f,MP 0210,NA - repair and renovation of anganwadi center,Normal/Others,Punjab,Punjab Constituency 210,IDA 0041,,Ward 20,,,2023-07-23,587338,Action Pending,Unsanctioned,Lok Sabha,1,vendor_capture
21e9c1c0,MP 0030,NA - installation of hand pumps and borewells,Normal/Others,Odisha,Odisha Constituency 30,IDA 0321,,Ward 12,Block 12,,2023-08-30,184142,Action Pending,Sanctioned,Lok Sabha,0,
a4ecb0bf,MP 0145,NA - renovation of government school building,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 145,IDA 0102,,,Block 7,Village 38,2023-05-21,1141972,Approved by IDA,Completed,Lok Sabha,0,
aae6de73,MP 0178,NA - repair of internal roads,Normal/Others,Jharkhand,Jharkhand Constituency 178,IDA 0140,,,,Village 99,2024-02-20,1399887,Approved by IDA,Completed,Lok Sabha,0,
4a9951d2,MP 0106,NA - installation of RO water purification unit,Normal/Others,Delhi,Delhi Constituency 106,IDA 0360,,Ward 20,,,2023-05-07,109063,Approved by IDA,Completed,Rajya Sabha,0,
e3b64386,MP 0110,NA - installation of solar street lights,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 110,IDA 0136,,Ward 25,,,2024-01-27,254784,Action Pending,Unsanctioned,Lok Sabha,0,
03523e26,MP 0010,NA - repair and renovation of anganwadi center,Normal/Others,Jharkhand,Jharkhand Constituency 10,IDA 0388,,,,,2023-11-07,213768,Approved by IDA,Unsanctioned,Lok Sabha,0,
881c9fdd,MP 0006,NA - installation of solar street lights,Normal/Others,West Bengal,West Bengal Constituency 6,IDA 0208,,Ward 18,Block 7,Village 56,2023-04-04,968660,Action Pending,Sanctioned,Lok Sabha,1,structuring
9e673ce0,MP 0281,NA - construction of cremation ground shed,Normal/Others,Maharashtra,Maharashtra Constituency 281,IDA 0011,,,Block 5,Village 46,2023-06-14,505142,Action Pending,Unsanctioned,Lok Sabha,0,
961c2a9d,MP 0171,NA - construction of public toilet complex,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 171,IDA 0078,,,Block 12,,2023-12-03,440244,Approved by IDA,Unsanctioned,Lok Sabha,0,
33ea7e06,MP 0260,NA - installation of hand pumps and borewells,Normal/Others,Maharashtra,Maharashtra Constituency 260,IDA 0382,,,,Village 50,2023-05-28,83728,Approved by IDA,Unsanctioned,Lok Sabha,0,
c4acae58,MP 0168,NA - installation of hand pumps and borewells,Normal/Others,Bihar,Bihar Constituency 168,IDA 0246,,,Block 14,Village 21,2023-07-20,993593,Action Pending,Sanctioned,Lok Sabha,1,structuring
7f1bc14b,MP 0059,NA - installation of RO water purification unit,Normal/Others,Bihar,Bihar Constituency 59,IDA 0392,,,,,2023-10-02,104920,Action Pending,Sanctioned,Rajya Sabha,0,
cbc61bd4,MP 0018,NA - installation of CCTV surveillance system,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 18,IDA 0175,,,,,2023-12-15,430578,Approved by IDA,Unsanctioned,Rajya Sabha,0,
7a96ce08,MP 0297,NA - installation of RO water purification unit,Normal/Others,Delhi,Delhi Constituency 297,IDA 0365,,,,Village 37,2024-03-07,334585,Approved by IDA,Ongoing,Rajya Sabha,0,
6ac77fcb,MP 0104,NA - installation of hand pumps and borewells,Normal/Others,Delhi,Delhi Constituency 104,IDA 0332,,Ward 18,,,2023-06-13,138079,Action Pending,Sanctioned,Rajya Sabha,0,
c6528eff,MP 0077,NA - installation of RO water purification unit,Normal/Others,Assam,Assam Constituency 77,IDA 0360,,Ward 28,Block 5,Village 48,2023-09-12,130047,Action Pending,Ongoing,Lok Sabha,0,
6f8b7076,MP 0174,NA - renovation of government school building,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 174,IDA 0027,,,,,2024-03-02,1405018,Approved by IDA,Ongoing,Lok Sabha,0,
4e544792,MP 0148,NA - repair of drinking water supply pipeline,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 148,IDA 0231,,,,Village 42,2024-03-11,340295,Action Pending,Unsanctioned,Lok Sabha,0,
b86cf39b,MP 0191,NA - installation of CCTV surveillance system,Normal/Others,Bihar,Bihar Constituency 191,IDA 0352,,Ward 30,Block 6,,2023-11-13,377026,Approved by IDA,Sanctioned,Lok Sabha,0,
240a6e48,MP 0233,NA - installation of hand pumps and borewells,Normal/Others,West Bengal,West Bengal Constituency 233,IDA 0104,,,,,2023-04-13,183549,Approved by IDA,Unsanctioned,Rajya Sabha,0,
42c7a6f5,MP 0140,NA - installation of street lights,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 140,IDA 0369,,,,,2023-12-11,124777,Approved by IDA,Sanctioned,Lok Sabha,0,
1824987d,MP 0258,NA - installation of RO water purification unit,Normal/Others,Rajasthan,Rajasthan Constituency 258,IDA 0289,,Ward 18,,,2023-12-21,308946,Action Pending,Unsanctioned,Lok Sabha,0,
c86fc800,MP 0294,NA - construction of cremation ground shed,Normal/Others,Karnataka,Karnataka Constituency 294,IDA 0022,,,,,2024-02-05,503759,Action Pending,Unsanctioned,Lok Sabha,0,
8764a132,MP 0147,NA - installation of CCTV surveillance system,Normal/Others,Rajasthan,Rajasthan Constituency 147,IDA 0342,,,Block 8,,2023-06-01,480254,Approved by IDA,Unsanctioned,Lok Sabha,1,structuring
386d762f,MP 0217,NA - installation of solar street lights,Normal/Others,Karnataka,Karnataka Constituency 217,IDA 0206,,Ward 18,,Village 98,2023-04-23,270608,Rejected by IDA,Sanctioned,Rajya Sabha,0,
4fc747b8,MP 0000,NA - installation of RO water purification unit,Normal/Others,West Bengal,West Bengal Constituency 0,IDA 0040,,Ward 27,Block 5,,2024-02-15,211095,Action Pending,Unsanctioned,Lok Sabha,0,
8f2dd12d,MP 0248,NA - installation of hand pumps and borewells,Normal/Others,West Bengal,West Bengal Constituency 248,IDA 0198,,,Block 12,Village 39,2023-11-18,94291,Action Pending,Unsanctioned,Lok Sabha,0,
5464c63b,MP 0114,NA - development of public park,Normal/Others,Maharashtra,Maharashtra Constituency 114,IDA 0370,,,Block 7,,2023-12-23,677753,Action Pending,Sanctioned,Rajya Sabha,0,
e8c356ad,MP 0228,NA - development of public park,Normal/Others,Maharashtra,Maharashtra Constituency 228,IDA 0025,,,,,2023-05-10,600542,Approved by IDA,Unsanctioned,Lok Sabha,0,
585019a4,MP 0136,NA - repair and renovation of anganwadi center,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 136,IDA 0366,,,,Village 19,2023-06-23,580635,Action Pending,Ongoing,Lok Sabha,0,
59c139a8,MP 0183,NA - installation of solar street lights,Normal/Others,Kerala,Kerala Constituency 183,IDA 0060,,,Block 14,Village 19,2023-11-04,420133,Approved by IDA,Sanctioned,Lok Sabha,0,
b81cae30,MP 0263,NA - repair and renovation of anganwadi center,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 263,IDA 0054,,Ward 8,Block 1,Village 50,2024-02-10,654132,Action Pending,Unsanctioned,Lok Sabha,0,
0e555e6d,MP 0204,NA - installation of hand pumps and borewells,Normal/Others,Maharashtra,Maharashtra Constituency 204,IDA 0344,,,,,2024-03-03,110981,Action Pending,Unsanctioned,Lok Sabha,0,
91afcb9f,MP 0124,NA - installation of hand pumps and borewells,Normal/Others,Assam,Assam Constituency 124,IDA 0313,,,,,2023-05-07,180449,Approved by IDA,Ongoing,Lok Sabha,1,ghost_project
d81f711a,MP 0234,NA - development of public park,Normal/Others,Karnataka,Karnataka Constituency 234,IDA 0099,,Ward 5,Block 10,Village 18,2023-05-27,1970048,Rejected by IDA,Sanctioned,Rajya Sabha,0,
96189819,MP 0206,NA - repair of internal roads,Normal/Others,Bihar,Bihar Constituency 206,IDA 0376,,Ward 18,,,2023-09-17,1083027,Approved by IDA,Unsanctioned,Lok Sabha,0,
2730d7d2,MP 0040,NA - construction of cremation ground shed,Normal/Others,Telangana,Telangana Constituency 40,IDA 0343,,,,,2023-06-18,554468,Action Pending,Sanctioned,Lok Sabha,0,
4787794b,MP 0293,NA - installation of solar street lights,Normal/Others,Bihar,Bihar Constituency 293,IDA 0117,,,Block 13,,2024-03-20,413339,Action Pending,Unsanctioned,Lok Sabha,0,
585d03ba,MP 0229,NA - repair of internal roads,Normal/Others,West Bengal,West Bengal Constituency 229,IDA 0398,,,,Village 79,2023-06-24,551922,Action Pending,Completed,Lok Sabha,0,
76c96d7f,MP 0276,NA - installation of street lights,Normal/Others,Delhi,Delhi Constituency 276,IDA 0256,,,Block 15,,2024-02-03,213014,Action Pending,Unsanctioned,Lok Sabha,0,
796109e2,MP 0213,NA - installation of solar street lights,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 213,IDA 0087,,Ward 13,Block 15,,2023-09-23,314908,Action Pending,Ongoing,Rajya Sabha,0,
bed19260,MP 0000,NA - construction of drainage system,Normal/Others,West Bengal,West Bengal Constituency 0,IDA 0182,,,,,2023-09-02,1103357,Action Pending,Unsanctioned,Rajya Sabha,0,
f2992d03,MP 0176,NA - installation of CCTV surveillance system,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 176,IDA 0098,,,Block 7,Village 64,2023-05-04,197028,Approved by IDA,Unsanctioned,Lok Sabha,0,
3d51c046,MP 0058,NA - construction of boundary wall for school,Normal/Others,Andhra Pradesh,Andhra Pradesh Constituency 58,IDA 0363,,,Block 9,Village 69,2024-01-08,792909,Action Pending,Sanctioned,Lok Sabha,0,
11e61f9d,MP 0254,NA - construction of public toilet complex,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 254,IDA 0255,,,,Village 3,2023-06-23,578361,Action Pending,Unsanctioned,Rajya Sabha,0,
b82a6e51,MP 0237,NA - construction of boundary wall for school,Normal/Others,Haryana,Haryana Constituency 237,IDA 0262,,,,Village 87,2024-01-24,521085,Action Pending,Sanctioned,Rajya Sabha,0,
f576c91d,MP 0042,NA - installation of solar street lights,Normal/Others,Gujarat,Gujarat Constituency 42,IDA 0228,,,,,2023-12-31,280013,Action Pending,Unsanctioned,Lok Sabha,0,
4493b6bd,MP 0274,NA - construction of cremation ground shed,Normal/Others,Rajasthan,Rajasthan Constituency 274,IDA 0036,,,Block 15,,2023-12-01,221069,Approved by IDA,Unsanctioned,Lok Sabha,0,
71074f8a,MP 0287,NA - construction of drainage system,Normal/Others,Maharashtra,Maharashtra Constituency 287,IDA 0180,,,,,2023-10-10,535649,Approved by IDA,Ongoing,Lok Sabha,0,
8eeb7f0f,MP 0043,NA - development of public park,Normal/Others,Maharashtra,Maharashtra Constituency 43,IDA 0105,,,Block 15,Village 56,2024-02-01,1233346,Approved by IDA,Unsanctioned,Lok Sabha,0,
